Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D2,red,LED_0603_1608Metric,182.88,-89.1795,90.0,top
D3,red,LED_0603_1608Metric,180.34,-89.1795,90.0,top
D4,red,LED_0603_1608Metric,177.8,-89.1795,90.0,top
D5,red,LED_0603_1608Metric,175.26,-89.1795,90.0,top
D6,red,LED_0603_1608Metric,172.72,-89.1795,90.0,top
D7,red,LED_0603_1608Metric,170.18,-89.1795,90.0,top
J1,Conn_01x02_Pin,PinHeader_2x01_P2.54mm_Vertical,171.455,-121.92,0.0,top
J2,Conn_01x02_Pin,PinSocket_2x01_P2.54mm_Vertical,165.125,-123.17,-90.0,top
R1,10k,R_0402_1005Metric,175.26,-124.46,-90.0,top
R2,10k,R_0402_1005Metric,177.8,-124.46,-90.0,top
R3,10k,R_0402_1005Metric,180.34,-124.46,-90.0,top
R4,10k,R_0402_1005Metric,187.96,-124.46,-90.0,top
R5,220,R_0402_1005Metric,170.18,-92.2295,-90.0,top
R6,220,R_0402_1005Metric,172.72,-92.2295,-90.0,top
R7,10k,R_0402_1005Metric,185.42,-124.46,-90.0,top
R8,10k,R_0402_1005Metric,182.88,-124.46124,-90.0,top
R9,220,R_0402_1005Metric,175.26,-92.2295,-90.0,top
R10,220,R_0402_1005Metric,177.8,-92.2295,-90.0,top
R11,220,R_0402_1005Metric,180.34,-92.2295,-90.0,top
R12,220,R_0402_1005Metric,182.88,-92.2295,-90.0,top
SW0,SW_SPST,SW_SPST_TS-1187A,167.64,-113.538,0.0,top
SW1,SW_SPST,SW_SPST_TS-1187A,167.64,-105.918,0.0,top
SW2,SW_SPST,SW_SPST_TS-1187A,167.64,-98.298,0.0,top
SW3,RotaryEncoder_Switch,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,182.92,-104.51,90.0,top
XA1,Arduino_Uno_R3_Shield,Arduino_Uno_R3_Shield,155.910119,-105.41,0.0,top
